account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,churn,total_minutes,total_calls,total_charges
83,408,yes,no,0,271,87,46,216,126,18,121,105,5,11,4,3,1,False,619,322,72
121,408,no,no,0,181,121,30,218,98,18,161,103,7,8,5,2,1,False,568,327,57
145,408,no,yes,43,257,97,43,162,95,13,286,86,12,11,4,3,2,False,716,282,71
113,408,no,no,0,193,99,32,221,125,18,172,67,7,10,6,2,1,False,596,297,59
117,415,no,no,0,102,119,17,206,91,17,299,105,13,10,7,2,1,False,617,322,49
65,408,no,no,0,187,116,31,157,117,13,227,86,10,7,6,2,1,False,578,325,56
56,415,no,no,0,226,112,38,248,118,21,140,142,6,6,11,1,1,False,620,383,66
96,415,no,no,0,260,115,44,146,46,12,269,87,12,11,4,3,5,False,686,252,71
151,408,no,no,0,178,116,30,292,138,24,265,101,11,9,4,2,0,False,744,359,67
83,415,no,no,0,337,120,57,227,116,19,153,114,6,15,7,4,0,True,732,357,86
139,510,no,yes,23,157,129,26,247,96,21,259,112,11,13,2,3,0,False,676,339,61
6,510,no,no,0,183,117,31,256,72,21,178,79,8,10,2,2,1,False,627,270,62
115,510,no,yes,24,142,124,24,183,129,15,164,114,7,9,4,2,1,False,498,371,48
87,415,no,no,0,136,97,23,172,108,14,137,101,6,7,5,1,0,False,452,311,44
141,415,no,no,0,217,110,36,241,111,20,253,103,11,12,6,3,0,False,723,330,70
141,510,no,yes,36,187,99,31,241,116,20,229,105,10,10,5,2,3,False,667,325,63
62,415,no,no,0,98,103,16,135,122,11,236,82,10,12,1,3,1,False,481,308,40
146,415,no,no,0,206,151,35,148,89,12,167,91,7,6,3,1,1,False,527,334,55
92,415,no,yes,33,243,92,41,213,92,18,228,104,10,12,2,3,2,False,696,290,72
185,510,no,yes,31,189,126,32,163,133,13,264,126,11,7,3,2,1,False,623,388,58
148,415,no,no,0,202,102,34,243,128,20,261,90,11,10,3,2,1,False,716,323,67
94,408,no,yes,38,170,124,28,193,116,16,105,73,4,12,4,3,1,False,480,317,51
32,510,no,no,0,230,87,39,187,90,15,154,53,6,6,2,1,0,False,577,232,61
68,408,no,no,0,237,105,40,223,105,19,97,79,4,13,2,3,1,False,570,291,66
64,408,no,yes,27,182,91,30,169,98,14,164,86,7,10,5,2,2,False,525,280,53
25,415,no,no,0,119,87,20,211,101,17,268,86,12,10,4,2,3,False,608,278,51
65,415,no,no,0,116,87,19,178,93,15,182,150,8,14,2,3,1,False,490,332,45
179,408,no,no,0,219,92,37,149,125,12,244,104,11,6,5,1,0,False,618,326,61
94,415,no,no,0,252,104,42,169,125,14,170,106,7,11,7,3,2,False,602,342,66
62,415,no,no,0,147,91,25,190,107,16,195,115,8,12,3,3,0,False,544,316,52
127,415,no,no,0,202,103,34,229,86,19,195,113,8,11,3,3,2,False,637,305,64
116,408,no,no,0,173,93,29,194,76,16,208,112,9,16,10,4,3,False,591,291,58
70,408,no,no,0,232,122,39,292,112,24,201,112,9,0,0,0,3,False,725,346,72
94,510,yes,yes,23,197,125,33,214,136,18,282,103,12,9,5,2,4,False,702,369,65
126,415,no,no,0,58,94,9,138,118,11,136,91,6,11,1,3,5,True,343,304,29
67,408,no,yes,36,115,111,19,237,94,20,169,103,7,9,12,2,2,False,530,320,48
19,408,no,no,0,186,98,31,254,57,21,214,127,9,14,7,3,2,False,668,289,64
170,510,yes,no,0,259,68,44,245,122,20,134,121,6,8,3,2,3,False,646,314,72
73,415,no,no,0,214,145,36,268,135,22,241,92,10,10,13,2,1,False,733,385,70
106,408,no,no,0,158,74,26,64,139,5,198,103,8,10,4,2,1,False,430,320,41
93,415,no,no,0,271,71,46,229,108,19,77,121,3,10,3,2,2,False,587,303,70
164,510,no,no,0,160,111,27,163,126,13,187,112,8,9,3,2,1,False,519,352,50
51,408,no,no,0,232,109,39,187,95,15,231,107,10,9,3,2,1,False,659,314,66
107,415,no,no,0,133,85,22,180,94,15,112,115,5,8,4,2,0,False,433,298,44
130,415,no,no,0,176,109,30,90,104,7,238,69,10,9,2,2,1,False,513,284,49
80,408,no,no,0,209,74,35,195,77,16,208,119,9,8,4,2,2,False,620,274,62
94,415,no,no,0,137,118,23,203,88,17,150,131,6,13,2,3,0,False,503,339,49
118,408,no,yes,23,289,52,49,166,111,14,119,88,5,9,4,2,1,False,583,255,70
117,415,no,yes,23,198,86,33,177,86,15,180,92,8,6,6,1,1,False,561,270,57
78,415,no,no,0,149,119,25,182,115,15,261,126,11,9,8,2,0,False,601,368,53
208,510,no,no,0,326,67,55,176,113,14,181,102,8,10,6,2,2,True,693,288,79
131,510,yes,yes,26,292,101,49,199,97,16,255,127,11,13,7,3,4,True,759,332,79
63,408,no,no,0,83,64,14,177,106,15,245,89,11,13,3,3,0,False,518,262,43
53,415,no,yes,24,145,146,24,220,136,18,249,96,11,13,5,3,3,False,627,383,56
62,408,no,no,0,182,101,30,328,93,27,245,131,11,11,1,3,2,False,766,326,71
97,415,no,no,0,218,86,37,184,94,15,240,110,10,6,8,1,3,False,648,298,63
105,510,no,no,0,140,109,23,178,51,15,217,83,9,6,3,1,2,False,541,246,48
157,415,no,no,0,152,105,25,257,80,21,198,93,8,9,4,2,1,False,616,282,56
66,415,no,yes,36,106,76,18,209,77,17,190,117,8,12,2,3,1,False,517,272,46
122,415,no,no,0,243,98,41,83,72,7,179,84,8,13,8,3,2,False,518,262,59
38,415,no,no,0,194,94,33,186,95,15,223,90,10,10,5,2,3,False,613,284,60
106,510,no,no,0,213,95,36,151,70,12,260,124,11,12,5,3,3,False,636,294,62
99,510,no,no,0,217,112,36,246,89,20,226,89,10,15,7,4,3,False,704,297,70
99,415,no,no,0,241,72,40,155,98,13,188,109,8,11,10,3,1,False,595,289,64
144,510,yes,no,0,203,100,34,247,103,21,194,94,8,11,11,3,0,False,655,308,66
82,415,no,yes,24,155,131,26,244,106,20,122,68,5,10,3,2,1,False,531,308,53
86,408,no,yes,31,167,139,28,113,118,9,246,121,11,12,6,3,1,False,538,384,51
70,510,yes,no,0,226,98,38,228,115,19,73,93,3,17,4,4,2,True,544,310,64
93,415,no,no,0,179,93,30,178,98,15,225,131,10,11,6,3,3,False,593,328,58
93,415,no,no,0,151,89,25,186,76,15,172,120,7,10,3,2,0,False,519,288,49
120,415,no,no,0,180,80,30,224,82,19,265,91,11,4,7,1,3,False,673,260,61
136,415,no,no,0,250,121,42,267,118,22,151,114,6,13,2,3,1,True,681,355,73
106,415,no,no,0,223,121,37,110,98,9,188,107,8,7,12,1,0,False,528,338,55
81,415,no,no,0,183,116,31,152,98,12,212,99,9,12,6,3,3,False,559,319,55
127,408,no,yes,22,166,114,28,174,103,14,244,68,11,10,6,2,1,False,594,291,55
65,415,no,no,0,136,112,23,272,96,23,220,104,9,4,2,1,1,False,632,314,56
35,408,no,no,0,149,113,25,242,122,20,174,104,7,8,6,2,2,False,573,345,54
88,408,no,no,0,65,97,11,168,76,14,236,113,10,13,1,3,2,False,482,287,38
65,415,no,no,0,213,111,36,234,94,19,250,123,11,2,4,0,1,False,699,332,66
123,415,no,no,0,206,85,35,244,78,20,221,136,9,7,2,2,3,False,678,301,66
126,408,no,yes,27,186,78,31,189,83,16,76,139,3,9,3,2,2,False,460,303,52
104,415,no,yes,23,280,136,47,220,92,18,136,102,6,13,3,3,4,False,649,333,74
45,415,no,yes,22,196,84,33,313,92,26,163,108,7,11,3,3,0,False,683,287,69
93,408,yes,no,0,312,109,53,129,100,11,217,74,9,10,2,2,0,True,668,285,75
63,415,yes,yes,36,199,110,33,291,111,24,197,92,8,11,6,2,1,False,698,319,67
100,415,no,no,0,203,96,34,217,126,18,180,122,8,13,2,3,3,False,613,346,63
53,415,no,no,0,168,97,28,220,87,18,154,113,6,10,2,2,0,False,552,299,54
92,415,yes,no,0,173,140,29,240,105,20,233,117,10,9,5,2,1,False,655,367,61
139,510,no,no,0,134,106,22,211,98,17,193,125,8,10,2,2,5,True,548,331,49
110,408,no,yes,40,202,103,34,118,128,10,234,98,10,9,9,2,2,False,563,338,56
110,408,no,no,0,74,117,12,200,98,17,192,101,8,9,7,2,3,False,475,323,39
215,510,no,no,0,83,148,14,120,91,10,226,110,10,10,9,2,0,False,439,358,36
73,415,no,no,0,192,86,32,168,116,14,139,87,6,9,6,2,1,False,508,295,54
138,510,no,no,0,220,89,37,88,125,7,195,79,8,12,5,3,0,False,515,298,55
137,415,yes,no,0,135,95,22,134,102,11,223,81,10,12,2,3,2,True,504,280,46
36,415,no,no,0,253,77,43,182,151,15,275,103,12,8,2,2,1,False,718,333,72
85,408,no,no,0,225,81,38,176,63,15,194,110,8,7,2,1,3,False,602,256,62
108,408,no,no,0,198,99,33,267,60,22,354,75,15,9,3,2,0,True,828,237,72
22,408,no,no,0,110,107,18,166,93,14,202,96,9,9,5,2,0,False,487,301,43
107,415,no,yes,37,60,102,10,102,80,8,261,106,11,11,3,3,0,False,434,291,32
51,510,no,no,0,214,94,36,149,58,12,283,66,12,10,5,2,0,False,656,223,62
94,408,no,no,0,181,85,30,202,98,17,245,97,11,9,2,2,4,False,637,282,60
119,510,no,yes,23,154,114,26,278,137,23,228,112,10,11,4,3,2,False,671,367,62
33,415,no,yes,29,157,99,26,117,80,10,279,79,12,13,11,3,4,True,566,269,51
106,415,no,no,0,207,91,35,172,109,14,191,143,8,14,7,3,4,False,584,350,60
82,408,no,no,0,207,90,35,232,83,19,172,108,7,9,8,2,3,False,620,289,63
86,510,no,yes,41,119,101,20,230,134,19,236,58,10,9,3,2,0,False,594,296,51
97,415,yes,no,0,143,117,24,273,82,23,178,81,8,10,3,2,0,False,604,283,57
106,408,no,yes,32,165,126,28,216,93,18,173,86,7,14,8,3,4,False,568,313,56
108,510,no,no,0,138,122,23,172,117,14,231,92,10,9,3,2,1,False,550,334,49
114,415,no,no,0,84,118,14,249,86,21,193,95,8,14,8,3,1,False,540,307,46
92,408,yes,no,0,62,111,10,180,126,15,221,80,9,10,2,2,1,True,473,319,36
59,510,no,no,0,155,79,26,235,123,20,169,80,7,8,4,2,1,False,567,286,55
24,510,no,yes,25,164,110,28,209,105,17,231,55,10,6,9,1,1,False,610,279,56
151,408,no,no,0,134,88,22,143,112,12,223,61,10,15,1,4,1,False,515,262,48
117,415,no,no,0,143,103,24,211,108,17,185,96,8,11,3,3,1,False,550,310,52
78,510,no,no,0,168,110,28,221,73,18,241,136,10,12,1,3,1,False,642,320,59
155,408,no,no,0,262,55,44,194,113,16,146,85,6,8,6,2,2,False,610,259,68
114,510,no,yes,30,206,79,35,260,91,22,291,83,13,11,6,3,1,False,768,259,73
114,510,no,yes,28,225,94,38,193,117,16,232,100,10,8,9,2,4,False,658,320,66
119,408,no,no,0,138,89,23,170,78,14,263,98,11,13,6,3,3,False,584,271,51
64,510,no,yes,48,94,104,16,136,101,11,147,89,6,4,4,1,0,False,381,298,34
118,408,yes,no,0,160,123,27,175,96,14,184,99,8,9,3,2,2,False,528,321,51
101,415,no,no,0,206,105,35,224,117,19,249,100,11,14,3,3,0,False,693,325,68
117,415,no,no,0,134,121,22,180,83,15,200,104,9,7,3,2,1,False,521,311,48
49,415,no,yes,28,214,78,36,235,100,19,206,107,9,8,13,2,3,False,663,298,66
139,415,no,no,0,192,104,32,234,96,19,203,101,9,13,3,3,3,False,642,304,63
92,408,no,yes,28,151,90,25,194,79,16,239,114,10,10,3,2,1,False,594,286,53
83,415,no,no,0,221,103,37,231,103,19,122,100,5,9,5,2,3,False,583,311,63
148,510,yes,no,0,218,88,37,208,85,17,203,99,9,11,4,3,0,False,640,276,66
144,408,no,yes,48,189,96,32,123,67,10,214,106,9,6,2,1,2,True,532,271,52
131,415,no,yes,25,192,85,32,225,105,19,254,59,11,10,6,2,2,False,681,255,64
146,510,yes,no,0,204,135,34,219,90,18,222,114,10,10,6,2,3,False,655,345,64
143,415,no,no,0,172,97,29,174,108,14,188,119,8,13,4,3,2,False,547,328,54
81,415,no,no,0,198,93,33,210,108,17,193,71,8,10,6,2,2,False,611,278,60
48,415,no,yes,37,211,115,35,159,84,13,144,80,6,12,1,3,1,False,526,280,57
86,415,no,yes,28,221,74,37,288,100,24,240,105,10,9,2,2,1,False,758,281,73
71,415,no,no,0,197,108,33,181,109,15,281,56,12,6,5,1,3,False,665,278,61
145,408,no,yes,24,147,90,25,175,108,14,252,102,11,15,3,4,2,False,589,303,54
137,510,no,no,0,206,122,35,128,102,10,194,84,8,8,5,2,2,False,536,313,55
137,408,no,no,0,205,88,35,209,86,17,289,84,13,14,4,3,2,False,717,262,68
167,510,no,no,0,207,88,35,132,63,11,255,98,11,14,5,3,0,False,608,254,60
89,510,no,no,0,303,95,51,260,114,22,312,89,14,5,3,1,1,True,880,301,88
199,415,no,yes,34,230,121,39,219,99,18,299,94,13,8,2,2,0,False,756,316,72
132,510,no,no,0,99,110,16,129,80,10,125,124,5,9,3,2,0,False,362,317,33
94,510,no,no,0,177,112,30,194,112,16,146,108,6,5,4,1,1,False,522,336,53
96,415,no,yes,37,172,93,29,120,116,10,216,86,9,10,5,2,5,True,518,300,50
96,510,no,yes,18,172,86,29,133,113,11,259,70,11,9,3,2,1,False,573,272,53
166,510,no,no,0,204,115,34,179,152,15,216,109,9,9,5,2,1,False,608,381,60
74,415,no,no,0,85,83,14,247,67,21,142,85,6,10,5,2,2,False,484,240,43
36,415,no,no,0,157,117,26,184,58,15,240,99,10,11,1,3,0,False,592,275,54
113,415,no,no,0,215,129,36,218,117,18,207,91,9,6,9,1,4,False,646,346,64
94,415,no,no,0,181,98,30,199,88,16,287,114,12,6,5,1,1,False,673,305,59
67,415,no,no,0,171,80,29,110,81,9,195,111,8,11,4,3,2,False,487,276,49
127,415,no,no,0,266,106,45,264,168,22,207,119,9,5,2,1,1,True,742,395,77
121,408,no,no,0,170,108,28,350,68,29,297,87,13,11,3,3,0,True,828,266,73
158,415,no,no,0,158,106,26,292,114,24,241,89,10,9,4,2,1,False,700,313,62
136,510,no,no,0,92,117,15,253,77,21,214,90,9,10,10,2,1,False,569,294,47
196,415,no,no,0,234,109,39,249,114,21,173,70,7,9,5,2,2,False,665,298,69
113,415,no,no,0,272,111,46,268,118,22,213,105,9,8,10,2,1,True,761,344,79
122,408,no,no,0,296,99,50,214,89,18,133,107,6,11,3,3,4,True,654,298,77
